1,he put an elephant into the fridge,he put a turkey into the fridge,0,0
2,my sister eats an apple after breakfast every day,my sister eats a stone after breakfast every day,1,1
5,a man can better see stars and the moon in daytime,a man can hardly see stars and the moon in daytime,0,0
8,cans are usually made of gold,cans are usually made of aluminum,0,0
9,I put my desktop into my suitcase before departure,I put my laptop into my suitcase before departure,0,0
10,I walk to the Moon,I walk to the school,0,0
17,most people become wiser after drinking a lot alcohol,most people become more stupid after drinking a lot alcohol,0,0
22,he died after taking poisons,he cured after taking poisons,1,1
24,I had a sweet dream when I was asleep yesterday,I had a sweet dream when I was awake yesterday,1,1
26,Alice became joyful after felt left out by her friends,Alice became sad after felt left out by her friends,0,0
29,I cooked my meal at the restaurant,I paid for my meal at the restaurant,0,0
31,I love eating seafood and I love eating chicken,I love eating seafood so I love eating chicken,1,1
34,this apple is a beautiful golden green color,this apple is a beautiful light blue color,1,1
42,managers greet with each other and begin to bark,managers greet with each other and begin to talk,0,0
49,cars on the freeway multiply during holidays,cars on the railway multiply during holidays,1,1
51,Jerry takes a visiting card from the rolodex to keep in touch with Tom,Jerry takes a tissue from the rolodex to keep in touch with Tom,1,1
52,pictures can be kept on films temporarily,pictures can be kept on films eternally,1,1
61,a giant panda is a black and white mammal found in Asia,a giant panda is a black and white bird found in Asia,1,1
64,a power socket has a copper housing for safety,a power socket has a plastic housing for safety,0,0
66,i write a letter to tell her i am fine,i rip a letter to tell her i am fine,1,1
67,a dining room is a place where people sleep,a dining room is a place where people eat,0,0
69,supermarkets cut down prices for a year-end clearance,supermarkets rise prices for a year-end clearance,1,1
73,there are many aquatic plants in the pond,there are many trees in the pond,1,1
83,he opens the door with a lock,he opens the door with a key,0,0
85,a rooster can lay eggs,a hen can lay eggs,0,0
87,Tom buys his girlfriend a bunch of roses on Valentine's Day,Tom buys his girlfriend a bunch of carnations on Valentine's Day,1,1
88,soup is best eaten with a spoon,soup is best eaten with a fork,1,1
90,i fly to New York to see the Statue of Liberty,i fly to Paris to see the Statue of Liberty,1,1
93,the image of the cat seems to be reflected many times in the mirror,the image of the cat seems to be reflected many times in the glass,1,1
96,Mary sits at the closet and begins reading,Mary sits at the desk and begins reading,0,0
97,Jim practices running on the playground every morning,Jim practices running on the bed every morning,1,1
102,she begins working for relaxation,she begins reading for relaxation,0,0
109,it takes me 3 seconds to read the book,it takes me 3 days to read the book,0,0
114,Jim invites Amy to dance in a pool,Jim invites Amy to dance in a ball,0,0
116,it is sunny so they go camping,it is rainy so they go camping,1,1
118,"cool the drink with some ice, please","heat the drink with some ice, please",1,1
120,he catches a subway train in a subway stop,he catches a subway train in a bus stop,1,1
125,Tim and Mary got married on January 31st,Tim and Mary got married on February 31st,1,1
126,she writes diaries in a magazine,she writes diaries in a notebook,0,0
127,the girl next to Mary in the photo is her nephew,the boy next to Mary in the photo is her nephew,0,0
129,Cinderella lives a hard life before she meets the prince,Cinderella lives a happy life before she meets the prince,1,1
131,Obama has served as President of the USA for twelve years,Obama has served as President of the USA for eight years,0,0
139,he is fined for vandalizing cultural heritages,he is honored for vandalizing cultural heritages,1,1
141,they have to live in a mansion because of poverty,they have to live in a loft because of poverty,0,0
146,Stephen William Hawking was a great actor,Stephen William Hawking was a great scientist,0,0
150,Mongolia is mass surrounded by water,the UK is mass surrounded by water,0,0
151,she wears glasses because of nearsightedness,she wears clothes because of nearsightedness,1,1
156,she writes to her pen pal because they cannot meet each other,she writes to her pen pal because they meet each other every day,1,1
157,a lemon tastes sour when it goes bad,milk tastes sour when it goes bad,0,0
161,people burnt ice for warmth th the past,people burnt coals for warmth in the past,0,0
162,Tony gives his girlfriend chocolates to propose,Tony gives his girlfriend chocolates to break up,1,1
166,he practices running on the playground every morning,he practices running on noodles every morning,1,1
168,he walks in from the wall,he walks in from the door,0,0
177,i begin walking as soon as the light turns green,i begin walking as soon as the light turns purple,1,1
187,Harry jumps high to throw the basketball into the basket,Harry stoops down to throw the basketball into the basket,1,1
188,I'm thirsty so I drink freshwater,I'm thirsty so I drink seawater,1,1
