1,he put an elephant into the fridge,he put a turkey into the fridge,0,0
2,my sister eats an apple after breakfast every day,my sister eats a stone after breakfast every day,1,1
7,his mother became satisfied after he got good grades in the math exam,his mother became angry after he got good grades in the math exam,1,1
8,cans are usually made of gold,cans are usually made of aluminum,0,0
9,I put my desktop into my suitcase before departure,I put my laptop into my suitcase before departure,0,0
13,this bucket can hold one gallon of water,this basket can hold one gallon of water,1,1
14,this man can jump across a mountain easily,this man can jump across a hurdle easily,0,0
18,a salad usually contains grass,a salad usually contains lettuce,0,0
25,my dad drinks a tin of cola everyday,my dad grows a tin of cola everyday,1,1
26,Alice became joyful after felt left out by her friends,Alice became sad after felt left out by her friends,0,0
28,I was humiliated by him so I broke up with him,I was humiliated by him so I had better friendship with him,1,1
31,I love eating seafood and I love eating chicken,I love eating seafood so I love eating chicken,1,1
32,I am tall so I have an advantage in basketball,I am short so I have an advantage in basketball,1,1
33,mother sings a lullaby to send her baby asleep,mother sings a rock-and-roll to send her baby asleep,1,1
37,i put a bar of soap on a birthday cake,i put a candle on a birthday cake,0,0
39,he put some soy sauce to make the noodles taste better,he put some soy sauce to make the robot taste better,1,1
41,sailing is an expensive hobby,walking is an expensive hobby,1,1
43,teachers teach geography with a globe,teachers teach sports with a globe,1,1
44,a funeral is a place for mourning,a funeral is a place for laughter,1,1
47,wool is a form of clothing material,wool is a form of eating material,1,1
50,beef cooked on the drill tastes delicious,beef cooked on the grill tastes delicious,0,0
53,we use a handsaw to cut wood,we use a penknife to cut wood,1,1
56,smartphones nowadays are huge,smartphones nowadays are small,0,0
57,we took television sets to commemorate important days,we took photos to commemorate important days,0,0
58,i park my car in the living room,i park my car in the garage,0,0
59,he turns on the radio to listen to music,he turns on the light to listen to music,1,1
61,a giant panda is a black and white mammal found in Asia,a giant panda is a black and white bird found in Asia,1,1
62,people put on summer dresses when summer comes,people put on summer dresses when winter comes,1,1
63,smoking is bad for health,smoking is good for health,1,1
72,i like her songs because she is a good singer,i like her songs because she is a good cook,1,1
76,Lily goes to the cinema to watch a movie,Lily goes to the cinema to listen to a concert,1,1
78,the ancients used a compass as a guidance,the ancients used a satellite as a guidance,1,1
79,the fire was caused by a lighted cigarette,the fire was caused by a glass of water,1,1
80,December is the 12th month of a year,December is the 13th month of a year,1,1
81,a prince is a piece used in the game of chess,a king is a piece used in the game of chess,0,0
82,maid is an important member of a family,mother is an important member of a family,0,0
85,a rooster can lay eggs,a hen can lay eggs,0,0
88,soup is best eaten with a spoon,soup is best eaten with a fork,1,1
91,nissan is a foreign plane manufacturer,nissan is a foreign car manufacturer,0,0
92,food is stored in the pan,food is stored in the fridge,0,0
98,he climbs up the mountain with the help of a rope,he climbs up the mountain with the help of a ribbon,1,1
100,i put some chili powder to create a sweet flavor,i put some chili powder to create a spicy flavor,0,0
101,Bob looks up a word in a dictionary,Bob looks up a word in a shopping list,1,1
102,she begins working for relaxation,she begins reading for relaxation,0,0
108,i buy a CD to listen to the latest songs,i buy a CD to listen to the latest advertisements,1,1
109,it takes me 3 seconds to read the book,it takes me 3 days to read the book,0,0
112,i wear a wristwatch to be informed of the time,i wear a belfry to be informed of the time,1,1
113,a bird beats its wings and flies off,a plane beats its wings and flies off,1,1
114,Jim invites Amy to dance in a pool,Jim invites Amy to dance in a ball,0,0
118,"cool the drink with some ice, please","heat the drink with some ice, please",1,1
121,Mary asks questions when taking an exam to get a high score,Mary answers questions when taking an exam to get a high score,0,0
122,human beings shake tails to express their happiness,dogs shake tails to express their happiness,0,0
124,i drink some glass,i drink some water,0,0
125,Tim and Mary got married on January 31st,Tim and Mary got married on February 31st,1,1
126,she writes diaries in a magazine,she writes diaries in a notebook,0,0
127,the girl next to Mary in the photo is her nephew,the boy next to Mary in the photo is her nephew,0,0
129,Cinderella lives a hard life before she meets the prince,Cinderella lives a happy life before she meets the prince,1,1
131,Obama has served as President of the USA for twelve years,Obama has served as President of the USA for eight years,0,0
132,children like flying kites in the spring,children like flying planes in the spring,1,1
