3,money can be used for buying cars,money can be used for buying stars,1,0
5,a man can better see stars and the moon in daytime,a man can hardly see stars and the moon in daytime,0,1
6,he was sent to a restaurant for treatment after a car crash,he was sent to a hospital for treatment after a car crash,0,1
10,I walk to the Moon,I walk to the school,0,1
11,I work 25 hours a day,I work 8 hours a day,0,1
12,I'm hungry for water,I'm hungry for food,0,1
15,I put the rubbish into a trash can,I put the rubbish into a mailbox,1,0
16,most children hate candies,most children love candies,0,1
17,most people become wiser after drinking a lot alcohol,most people become more stupid after drinking a lot alcohol,0,1
19,computers are everywhere in a forest,trees are everywhere in a forest,0,1
20,my family used to watch TV together after dinner,my family used to watch radio together after dinner,1,0
21,I became hungry after a whole day starvation,I became sleepy after a whole day starvation,1,0
22,he died after taking poisons,he cured after taking poisons,1,0
23,I changed my direction when passing a crossroads,I changed my car when passing a crossroads,1,0
24,I had a sweet dream when I was asleep yesterday,I had a sweet dream when I was awake yesterday,1,0
27,Bob played hard to prepare for the examination,Bob studied hard to prepare for the examination,0,1
29,I cooked my meal at the restaurant,I paid for my meal at the restaurant,0,1
30,Bob loves to play tennis at the indoor stadium,Bob loves to play tennis at the sports store,1,0
34,this apple is a beautiful golden green color,this apple is a beautiful light blue color,1,0
35,i call my mum with a phone,i call my mum with a drum,1,0
36,i like drinking mercury after dinner,i like drinking coffee after dinner,0,1
38,sugar is the main ingredient in candy,plastic is the main ingredient in candy,1,0
40,he is drunk soon after drinking some gin,he is drunk soon after drinking some water,1,0
42,managers greet with each other and begin to bark,managers greet with each other and begin to talk,0,1
45,children have fun in the amusement park,children have fun in the cemetery,1,0
46,Mary eats at a restaurant to do the dishes,Mary eats at a restaurant to avoid doing the dishes,0,1
48,mum is cooking a delicious meal in the kitchen,mum is cooking a delicious meal in the bedroom,1,0
49,cars on the freeway multiply during holidays,cars on the railway multiply during holidays,1,0
51,Jerry takes a visiting card from the rolodex to keep in touch with Tom,Jerry takes a tissue from the rolodex to keep in touch with Tom,1,0
52,pictures can be kept on films temporarily,pictures can be kept on films eternally,1,0
54,human beings can travel to the moon by spacecraft,human beings can travel to the moon by bus,1,0
55,she is happy to play with her friends,she is sad to play with her friends,1,0
60,Lily opened the window to let some fresh air in,Lily opened the wall to let some fresh air in,1,0
64,a power socket has a copper housing for safety,a power socket has a plastic housing for safety,0,1
65,it takes him an hour to tear himself apart,it takes him an hour to clean himself up,0,1
66,i write a letter to tell her i am fine,i rip a letter to tell her i am fine,1,0
67,a dining room is a place where people sleep,a dining room is a place where people eat,0,1
